YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,La,Lo
1978,7.7,JAPAN,JAPAN:  SANRIKU,38.19,142.028,90,180
1978,6.9,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",8.249,122.403,90,180
1978,6.4,GREECE,GREECE: THESSALONIKI,40.739,23.229,90,90
1978,,ITALY,ITALY:  ADRIATIC SEA,,,90,90
1978,7.4,TAIWAN,TAIWAN,22.282,121.512,90,180
1978,4.5,GUATEMALA,GUATEMALA:  PATZUN,14.843,-91.022,90,-90
1978,7,CHILE,CHILE:  NORTHERN:  COPIAPO-TALTAI,-26.51,-70.54,0,0
1978,5.6,USA,CALIFORNIA:  SOUTHERN,34.35,-119.7,90,-90
1978,4.4,SPAIN,SPAIN,36.63,-6.871,90,0
1978,5.3,GERMANY,GERMANY,48.29,9.01,90,90
1978,7.8,IRAN,IRAN:  TABAS,33.386,57.434,90,90
1978,6.8,UZBEKISTAN,UZBEKISTAN:   ANDIZHAN; TAJIKISTAN:  DUSHANBE,39.35,72.61,90,90
1978,7.7,MEXICO,MEXICO:  OAXACA,16.01,-96.591,90,-90
1978,7.5,RUSSIA,RUSSIA:  KURIL ISLANDS,44.592,146.581,90,180
1978,6.2,IRAN,IRAN:  MASJED-E-SOLYEMAN,32.14,49.65,90,90
1978,7,TAIWAN,TAIWAN:  PINTUNG,23.247,122.075,90,180
1979,6.8,IRAN,IRAN:  BONZANABAD,33.897,59.472,90,90
1979,6.9,PERU,PERU:  AREQUIPA,-16.39,-72.658,0,0
1979,6.4,JAPAN,"IWATE, JAPAN",40.232,143.703,90,180
1979,7.5,USA,ALASKA,60.691,-141.671,90,-90
1979,7.6,MEXICO,MEXICO:  GUERRERO,17.813,-101.276,90,-90
1979,5.3,MONTENEGRO,MONTENEGRO: BAR ULCINJ,41.956,19.023,90,90
1979,6.9,MONTENEGRO,BALKANS NW:  MONTENEGRO,42.096,19.209,90,90
